date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-02-08,Japanese,,,0,0,19.44,book,144
2020-02-08,German (DEU),,,0,0,5.56,book,180
2020-02-08,German (AUT),,,0,0,19.44,book,180
2020-02-08,German (CHE),,,0,0,0.0,book,180
2020-02-08,Tamil,,,1,1,10.19,book,16
2020-02-08,Vietnamese,,,0,0,37.04,book,17
2020-02-09,Tamil,,,1,1,10.19,book,32
2020-02-09,German (CHE),,,0,0,0.0,book,222
2020-02-09,German (DEU),,,0,0,5.56,book,222
2020-02-09,German (AUT),,,0,0,19.44,book,222
2020-02-09,Vietnamese,,,0,0,37.04,book,19
2020-02-09,Japanese,,,0,0,19.44,book,153
2020-02-10,Tamil,,,1,1,10.19,book,20
2020-02-10,German (DEU),,,0,0,5.56,book,242
2020-02-10,German (CHE),,,0,0,0.0,book,242
2020-02-10,German (AUT),,,0,0,19.44,book,242
2020-02-10,Vietnamese,,,0,0,37.04,book,30
2020-02-10,Japanese,,,0,0,19.44,book,236
2020-02-11,Vietnamese,,,0,0,37.04,book,32
2020-02-11,Japanese,,,0,0,19.44,book,214
2020-02-11,German (AUT),,,0,0,19.44,book,228
2020-02-11,Tamil,,,1,1,10.19,book,22
2020-02-11,German (CHE),,,0,0,0.0,book,228
2020-02-11,German (DEU),,,0,0,5.56,book,228
2020-02-12,German (CHE),,,0,0,0.0,book,241
2020-02-12,Vietnamese,,,0,0,37.04,book,31
2020-02-12,Tamil,,,1,1,10.19,book,18
2020-02-12,Japanese,,,0,0,19.44,book,278
2020-02-12,German (AUT),,,0,0,19.44,book,241
2020-02-12,German (DEU),,,0,0,11.11,book,241
2020-02-13,Vietnamese,,,0,0,45.37,book,22
2020-02-13,Tamil,,,1,1,10.19,book,16
2020-02-13,Serbian,,,0,0,0.0,book,2
2020-02-13,German (AUT),,,0,0,19.44,book,211
2020-02-13,German (DEU),,,0,0,11.11,book,211
2020-02-13,Japanese,,,0,0,19.44,book,269
2020-02-13,German (CHE),,,0,0,0.0,book,211
2020-02-14,Japanese,,,0,0,19.44,book,292
2020-02-14,Serbian,,,0,0,0.0,book,4
2020-02-14,Vietnamese,,,0,0,45.37,book,25
2020-02-14,German (DEU),,,0,0,11.11,book,204
2020-02-14,Tamil,,,1,1,10.19,book,17
2020-02-14,German (AUT),,,0,0,19.44,book,204
2020-02-14,German (CHE),,,0,0,0.0,book,204
2020-02-15,Japanese,,,0,0,19.44,book,166
2020-02-15,Tamil,,,1,1,10.19,book,14
2020-02-15,Vietnamese,,,0,0,47.22,book,20
2020-02-15,Serbian,,,0,0,0.0,book,3
2020-02-15,German (DEU),,,0,0,11.11,book,170
2020-02-15,German (CHE),,,0,0,0.0,book,170
2020-02-15,German (AUT),,,0,0,19.44,book,170
2020-02-16,German (CHE),,,0,0,0.0,book,191
2020-02-16,German (AUT),,,0,0,19.44,book,191
2020-02-16,German (DEU),,,0,0,11.11,book,191
2020-02-16,Tamil,,,1,1,10.19,book,42
2020-02-16,Serbian,,,0,0,0.0,book,2
2020-02-16,Japanese,,,0,0,19.44,book,208
2020-02-16,Vietnamese,,,0,0,47.22,book,29
2020-02-17,German (DEU),,,0,0,11.11,book,240
2020-02-17,German (AUT),,,0,0,19.44,book,240
