,country,date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,language
2249,AUT,2020-11-17,-0.14654555555555557,0.2511366666666667,2,1,,German
2250,CHE,2020-11-17,-0.048464400000000005,0.184102,1,1,,German
2251,JPN,2020-11-17,-0.0014721915285451196,0.11260077348066298,1,1,,Japanese
2252,VNM,2020-11-17,0.13306633522727274,0.20012181818181818,2,1,,Vietnamese
2253,IND,2020-11-17,-0.05483883435582822,0.1403296165644172,2,1,,Tamil
2254,CHE,2020-11-18,-0.022229199999999998,0.1822908,1,1,,German
2255,IND,2020-11-18,-0.06026036809815951,0.13867742331288344,2,1,,Tamil
2256,VNM,2020-11-18,0.14613798295454547,0.19179035511363637,2,1,,Vietnamese
2257,JPN,2020-11-18,-0.010000054347826087,0.11183182971014492,1,1,,Japanese
2258,AUT,2020-11-18,-0.1513311111111111,0.23681444444444447,2,1,,German
2259,SRB,2020-11-18,-0.028502,0.19289560000000003,1,1,,Serbian
2260,DEU,2020-11-18,-0.045633125000000004,0.2174,1,1,,German
2261,VNM,2020-11-19,0.16810710227272727,0.18840095170454543,2,1,,Vietnamese
2262,DEU,2020-11-19,-0.0540775,0.2111975,1,1,,German
2263,IND,2020-11-19,-0.06907085889570552,0.13917656441717793,2,1,,Tamil
2264,AUT,2020-11-19,-0.1990088888888889,0.25023666666666666,2,1,,German
2265,CHE,2020-11-19,-0.1003688,0.1987664,1,1,,German
2266,SRB,2020-11-19,-0.012427200000000001,0.18928319999999998,1,1,,Serbian
2267,JPN,2020-11-19,-0.014028966789667896,0.11250928044280442,1,1,,Japanese
2268,IND,2020-11-20,-0.07638102760736196,0.1381814263803681,2,1,,Tamil
2269,VNM,2020-11-20,0.19920944602272728,0.18388440340909093,2,1,,Vietnamese
2270,AUT,2020-11-20,-0.21584,0.24392333333333335,2,1,,German
2271,SRB,2020-11-20,-0.021016399999999998,0.19145879999999998,1,1,,Serbian
2272,DEU,2020-11-20,-0.063143125,0.207089375,1,1,,German
2273,CHE,2020-11-20,-0.10769719999999999,0.18789280000000003,1,1,,German
2274,JPN,2020-11-20,-0.022280552486187846,0.11335125230202578,1,1,,Japanese
2275,SRB,2020-11-21,-0.1307724,0.25075800000000004,1,1,,Serbian
2276,DEU,2020-11-21,-0.113490625,0.284135625,1,1,,German
2277,IND,2020-11-21,-0.07281565950920246,0.1391183588957055,2,1,,Tamil
2278,JPN,2020-11-21,0.029550424354243543,0.13093250922509225,1,1,,Japanese
2279,VNM,2020-11-21,0.18403501424501423,0.20051943019943017,2,1,,Vietnamese
2280,CHE,2020-11-21,-0.1479888,0.226524,1,1,,German
2281,AUT,2020-11-21,-0.31615333333333334,0.30094888888888893,2,1,,German
2282,AUT,2020-11-22,-0.3204677777777778,0.4214644444444444,2,1,,German
2283,JPN,2020-11-22,0.023326660550458716,0.1661828256880734,1,1,,Japanese
2284,SRB,2020-11-22,-0.1767984,0.3008412,1,1,,Serbian
2285,VNM,2020-11-22,0.2345573504273504,0.20697423076923077,2,1,,Vietnamese
2286,IND,2020-11-22,-0.0846051226993865,0.15783013803680981,2,1,,Tamil
2287,DEU,2020-11-22,-0.181454375,0.43970875,1,1,,German
2288,CHE,2020-11-22,-0.2065872,0.35195,1,1,,German
2289,AUT,2020-11-23,-0.14461222222222223,0.24097444444444444,2,1,,German
2290,VNM,2020-11-23,0.19473637268847793,0.18631790896159317,2,1,,Vietnamese
2291,JPN,2020-11-23,-0.1141078880866426,0.16626768953068594,1,1,,Japanese
2292,IND,2020-11-23,-0.06388378254211333,0.13574408882082695,2,1,,Tamil
2293,CHE,2020-11-23,-0.0625544,0.1930124,1,1,,German
2294,SRB,2020-11-23,-0.0576928,0.198538,1,1,,Serbian
2295,DEU,2020-11-23,-0.025616875,0.21045625,1,1,,German
2296,AUT,2020-11-24,-0.10760222222222222,0.23757555555555557,2,1,,German
2297,CHE,2020-11-24,-0.0455684,0.1914696,1,1,,German
2298,SRB,2020-11-24,-0.0880556,0.2091284,1,1,,Serbian
2299,DEU,2020-11-24,-0.018731249999999998,0.210930625,1,1,,German
2300,VNM,2020-11-24,0.19848775568181817,0.19100946022727275,2,1,,Vietnamese
2301,JPN,2020-11-24,-0.008242720588235294,0.11376768382352942,1,1,,Japanese
2302,IND,2020-11-24,-0.06323871165644171,0.14011812883435584,2,1,,Tamil
2303,JPN,2020-11-25,-0.0038036968576709794,0.11468645101663585,1,1,,Japanese
2304,SRB,2020-11-25,-0.060717600000000004,0.20704080000000002,1,1,,Serbian
2305,AUT,2020-11-25,-0.14726,0.24204555555555554,2,1,,German
2306,CHE,2020-11-25,-0.0328388,0.1878132,1,1,,German
2307,IND,2020-11-25,-0.07032757668711656,0.14165280674846625,2,1,,Tamil
2308,VNM,2020-11-25,0.15269626420454546,0.1942844460227273,2,1,,Vietnamese
2309,DEU,2020-11-25,-0.03098625,0.211935,1,1,,German
2310,CHE,2020-11-26,-0.045717600000000004,0.18265399999999998,1,1,,German
2311,JPN,2020-11-26,-0.008000575139146569,0.11141712430426716,1,1,,Japanese
2312,IND,2020-11-26,-0.09934943338437979,0.1458556967840735,2,1,,Tamil
2313,SRB,2020-11-26,-0.0655652,0.21479679999999998,1,1,,Serbian
2314,VNM,2020-11-26,0.15469063920454545,0.19594386363636362,2,1,,Vietnamese
2315,DEU,2020-11-26,-0.039711875,0.208334375,1,1,,German
2316,AUT,2020-11-26,-0.17136333333333334,0.23631999999999997,2,1,,German
2317,DEU,2020-11-27,-0.023061875,0.196568125,1,1,,German
2318,SRB,2020-11-27,-0.0571512,0.2071956,1,1,,Serbian
2319,AUT,2020-11-27,-0.17295000000000002,0.2262977777777778,2,1,,German
2320,JPN,2020-11-27,-0.020546062846580407,0.10929155268022181,1,1,,Japanese
2321,VNM,2020-11-27,0.1293414630681818,0.19467819602272726,2,1,,Vietnamese
2322,CHE,2020-11-27,-0.0382248,0.16851359999999999,1,1,,German
2323,IND,2020-11-27,-0.07390117917304748,0.1386269372128637,2,1,,Tamil
2324,SRB,2020-11-28,-0.13819520000000002,0.26250599999999996,1,1,,Serbian
2325,JPN,2020-11-28,-0.019224701492537313,0.1358200932835821,1,1,,Japanese
2326,CHE,2020-11-28,-0.10737000000000001,0.2135888,1,1,,German
2327,DEU,2020-11-28,-0.07930999999999999,0.275124375,1,1,,German
2328,AUT,2020-11-28,-0.30143555555555557,0.2989533333333333,2,1,,German
2329,IND,2020-11-28,-0.07245465543644718,0.1436833231240429,2,1,,Tamil
2330,VNM,2020-11-28,0.12333749287749288,0.21455821937321937,2,1,,Vietnamese
2331,IND,2020-11-29,-0.08735361963190184,0.15774397239263804,2,1,,Tamil
2332,DEU,2020-11-29,-0.183620625,0.439165625,1,1,,German
2333,VNM,2020-11-29,0.11800862019914651,0.24313301564722617,2,1,,Vietnamese
2334,JPN,2020-11-29,-0.053864568807339454,0.17286524770642203,1,1,,Japanese
2335,AUT,2020-11-29,-0.32408111111111115,0.42605666666666664,2,1,,German
2336,SRB,2020-11-29,-0.2331116,0.3296412,1,1,,Serbian
2337,CHE,2020-11-29,-0.2450908,0.371534,1,1,,German
2338,CHE,2020-11-30,-0.0414152,0.189536,1,1,,German
2339,IND,2020-11-30,-0.06994486196319019,0.13819260736196318,2,1,,Tamil
2340,JPN,2020-11-30,-0.019900354477611938,0.11395494402985075,1,1,,Japanese
2341,AUT,2020-11-30,-0.09962333333333334,0.22395333333333334,2,1,,German
2342,VNM,2020-11-30,0.11678689900426743,0.2077692745376956,2,1,,Vietnamese
2343,SRB,2020-11-30,-0.10733359999999999,0.2238504,1,1,,Serbian
2344,DEU,2020-11-30,0.025855625,0.201584375,1,1,,German
2345,JPN,2020-12-01,-0.016634739776951676,0.11302275092936803,1,1,,Japanese
2346,SRB,2020-12-01,-0.1152908,0.22841079999999997,1,1,,Serbian
2347,IND,2020-12-01,-0.028246411042944786,0.13258552147239264,2,1,,Tamil
2348,CHE,2020-12-01,-0.0539888,0.20156120000000002,1,1,,German
2349,VNM,2020-12-01,0.114349146514936,0.20816274537695592,2,1,,Vietnamese
2350,DEU,2020-12-01,0.003738125000000001,0.21048375,1,1,,German
2351,AUT,2020-12-01,-0.08154,0.23126,2,1,,German
2352,IND,2020-12-02,-0.053627519142419595,0.13490356814701376,2,1,,Tamil
2353,SRB,2020-12-02,-0.10167999999999999,0.2334408,1,1,,Serbian
2354,DEU,2020-12-02,-0.016591250000000002,0.2103525,1,1,,German
2355,VNM,2020-12-02,0.12083221906116642,0.20042241820768136,2,1,,Vietnamese
2356,CHE,2020-12-02,-0.054772,0.1950272,1,1,,German
2357,AUT,2020-12-02,-0.12890333333333334,0.23742555555555553,2,1,,German
2358,JPN,2020-12-02,-0.035862327746741154,0.11812234636871509,1,1,,Japanese
2359,CHE,2020-12-03,-0.0382456,0.1792888,1,1,,German
2360,IND,2020-12-03,-0.0788041717791411,0.14078351226993865,2,1,,Tamil
2361,DEU,2020-12-03,-0.033170625,0.207359375,1,1,,German
2362,AUT,2020-12-03,-0.13889888888888888,0.23520333333333335,2,1,,German
2363,VNM,2020-12-03,0.1552946590909091,0.1960689630681818,2,1,,Vietnamese
2364,SRB,2020-12-03,-0.10454599999999999,0.2360984,1,1,,Serbian
2365,JPN,2020-12-03,-0.03814303538175046,0.11773057728119181,1,1,,Japanese
2366,SRB,2020-12-04,-0.0805552,0.2240544,1,1,,Serbian
2367,VNM,2020-12-04,0.14963176136363637,0.19341035511363636,2,1,,Vietnamese
2368,DEU,2020-12-04,-0.044035625,0.20559125,1,1,,German
2369,AUT,2020-12-04,-0.13938666666666666,0.21915666666666667,2,1,,German
