Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/3/2020,26,28,14,12,42,30,53,47,18,99,Vietnamese
1/4/2020,24,13,18,27,38,31,68,47,12,78,Vietnamese
1/5/2020,30,30,26,11,30,33,62,61,20,51,Vietnamese
1/6/2020,37,16,16,29,32,43,78,86,9,56,Vietnamese
1/7/2020,20,29,23,13,48,51,61,88,14,72,Vietnamese
1/8/2020,21,26,20,28,44,40,65,71,6,49,Vietnamese
1/9/2020,24,25,19,19,31,66,61,67,10,74,Vietnamese
1/10/2020,22,8,15,11,36,39,68,57,10,37,Vietnamese
1/11/2020,18,12,25,19,36,41,49,64,9,35,Vietnamese
1/12/2020,34,8,20,20,25,58,52,65,7,34,Vietnamese
1/13/2020,40,16,24,12,50,58,105,60,9,51,Vietnamese
1/14/2020,18,19,16,26,33,38,93,77,10,73,Vietnamese
1/15/2020,14,15,19,12,35,45,117,74,6,43,Vietnamese
1/16/2020,18,17,15,16,26,50,65,56,23,51,Vietnamese
1/17/2020,12,16,11,19,38,30,98,46,8,53,Vietnamese
1/18/2020,6,14,14,27,20,29,55,59,4,30,Vietnamese
1/19/2020,13,10,14,22,26,15,59,38,9,29,Vietnamese
1/20/2020,13,5,19,26,21,30,83,65,8,43,Vietnamese
1/21/2020,15,15,20,22,27,28,69,57,14,49,Vietnamese
1/22/2020,9,10,14,31,23,20,69,44,9,50,Vietnamese
1/23/2020,7,15,7,19,17,26,66,32,10,33,Vietnamese
1/24/2020,5,5,8,19,9,13,74,59,18,31,Vietnamese
1/25/2020,13,13,6,27,15,9,52,36,5,37,Vietnamese
1/26/2020,7,3,7,26,29,9,50,34,13,33,Vietnamese
1/27/2020,10,8,11,22,24,11,38,29,19,32,Vietnamese
1/28/2020,20,12,14,31,16,17,54,39,8,32,Vietnamese
1/29/2020,5,17,15,21,34,18,71,49,11,32,Vietnamese
1/30/2020,10,12,20,27,24,29,54,42,8,95,Vietnamese
1/31/2020,18,15,9,17,31,23,58,29,12,43,Vietnamese
2/1/2020,11,14,19,26,39,24,52,31,9,38,Vietnamese
2/2/2020,19,23,16,32,29,22,56,37,19,40,Vietnamese
2/3/2020,13,17,16,35,38,24,46,38,14,47,Vietnamese
2/4/2020,12,16,12,27,43,20,68,34,26,40,Vietnamese
2/5/2020,27,14,17,18,38,36,50,29,16,59,Vietnamese
