Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
2020-05-01,187,154,223,205,353,374,247,147,423,737,Japanese
2020-05-02,153,158,191,206,386,515,197,145,363,699,Japanese
2020-05-03,157,175,206,212,389,435,380,186,401,771,Japanese
2020-05-04,184,152,227,240,414,448,274,189,588,790,Japanese
2020-05-05,187,163,261,301,477,400,323,202,776,646,Japanese
2020-05-06,248,120,240,288,452,465,279,221,839,650,Japanese
2020-05-07,217,118,10445,199,480,432,253,184,695,552,Japanese
2020-05-08,212,123,532,207,405,465,247,176,696,520,Japanese
2020-05-09,218,105,330,225,390,519,287,183,468,498,Japanese
2020-05-10,199,143,406,311,442,470,314,215,592,486,Japanese
2020-05-11,296,140,298,286,380,389,243,257,562,474,Japanese
2020-05-12,316,129,254,205,432,450,234,245,606,489,Japanese
2020-05-13,245,144,248,204,450,471,246,287,565,508,Japanese
2020-05-14,285,127,326,223,352,375,217,241,606,723,Japanese
2020-05-15,276,145,360,231,387,395,267,242,555,643,Japanese
2020-05-16,258,80,299,243,401,425,254,235,502,604,Japanese
2020-05-17,227,124,254,204,423,385,301,249,615,565,Japanese
2020-05-18,310,95,283,220,447,438,259,251,745,580,Japanese
2020-05-19,291,78,304,223,392,365,301,248,620,640,Japanese
2020-05-20,268,91,292,229,360,424,411,200,589,664,Japanese
2020-05-21,238,97,257,258,338,480,278,203,564,695,Japanese
2020-05-22,208,119,255,266,294,366,206,209,473,498,Japanese
2020-05-23,189,120,261,258,350,419,205,295,447,600,Japanese
2020-05-24,199,96,269,303,440,421,247,494,431,651,Japanese
2020-05-25,263,111,219,326,335,366,211,310,426,549,Japanese
2020-05-26,196,94,327,298,406,401,243,294,465,510,Japanese
2020-05-27,218,121,251,247,359,412,188,252,444,486,Japanese
2020-05-28,236,80,229,246,340,443,197,227,403,446,Japanese
2020-05-29,252,83,224,246,335,368,264,218,413,396,Japanese
2020-05-30,336,73,201,246,365,400,210,230,317,455,Japanese
2020-05-31,304,97,227,239,361,438,248,210,407,517,Japanese
2020-06-01,224,99,148,237,303,300,189,230,431,477,Japanese
2020-06-02,206,76,188,225,319,347,184,281,434,474,Japanese
2020-06-03,246,76,212,201,285,348,218,227,434,482,Japanese
2020-06-04,221,107,176,267,301,305,209,200,409,414,Japanese
2020-06-05,179,97,207,337,266,296,175,191,397,503,Japanese
2020-06-06,189,69,189,343,322,336,202,157,273,477,Japanese
2020-06-07,178,102,162,294,317,376,184,190,410,484,Japanese
2020-06-08,233,98,160,303,309,348,194,177,507,439,Japanese
2020-06-09,206,86,240,295,322,349,216,177,490,451,Japanese
2020-06-10,176,84,248,254,441,329,208,218,398,323,Japanese
2020-06-11,175,51,239,294,397,393,183,266,373,429,Japanese
2020-06-12,187,46,188,289,497,362,152,143,329,469,Japanese
2020-06-13,130,46,228,274,453,360,193,169,310,479,Japanese
2020-06-14,165,81,203,284,378,365,190,197,375,523,Japanese
2020-06-15,211,63,249,254,359,318,165,207,453,372,Japanese
2020-06-16,234,62,255,264,495,367,176,227,382,318,Japanese
2020-06-17,190,58,178,201,413,321,188,174,406,307,Japanese
2020-06-18,191,49,187,213,373,361,188,212,425,513,Japanese
2020-06-19,197,49,213,236,405,325,183,231,420,434,Japanese
2020-06-20,147,75,204,215,381,337,197,138,323,400,Japanese
2020-06-21,164,59,205,233,435,346,219,182,351,410,Japanese
2020-06-22,215,82,223,241,420,330,185,205,428,486,Japanese
2020-06-23,251,69,233,279,387,319,192,215,404,444,Japanese
2020-06-24,197,63,300,266,299,338,194,249,412,427,Japanese
2020-06-25,197,51,255,241,392,336,179,208,446,385,Japanese
2020-06-26,219,61,196,243,305,305,172,169,372,477,Japanese
2020-06-27,136,63,205,196,311,352,180,161,345,460,Japanese
2020-06-28,187,71,256,227,384,378,208,175,455,434,Japanese
2020-06-29,194,84,216,233,336,366,238,220,387,342,Japanese
2020-06-30,230,61,216,213,308,346,198,218,423,357,Japanese
2020-07-01,169,47,257,258,320,447,210,203,381,403,Japanese
