Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
22/08/2019,2,0,1,12,7,0,2,3,0,7,Macedonian
23/08/2019,4,1,1,5,5,1,1,2,0,2,Macedonian
24/08/2019,2,0,0,15,3,0,1,0,0,4,Macedonian
25/08/2019,5,0,1,9,7,4,1,2,0,8,Macedonian
26/08/2019,8,0,0,15,4,5,5,3,0,2,Macedonian
27/08/2019,1,0,1,10,7,0,1,2,0,6,Macedonian
28/08/2019,4,1,2,9,7,4,2,0,0,3,Macedonian
29/08/2019,3,0,0,6,2,5,2,0,0,0,Macedonian
30/08/2019,3,1,0,9,5,2,4,2,0,8,Macedonian
31/08/2019,10,1,1,19,2,1,1,0,0,2,Macedonian
1/9/2019,6,0,0,8,1,1,4,3,0,2,Macedonian
2/9/2019,2,0,0,3,1,1,2,2,0,4,Macedonian
3/9/2019,9,0,0,17,4,3,2,4,0,4,Macedonian
4/9/2019,12,0,1,9,7,5,1,2,0,10,Macedonian
5/9/2019,16,1,1,14,3,0,2,4,0,9,Macedonian
6/9/2019,3,1,0,5,3,3,1,0,0,7,Macedonian
7/9/2019,8,0,0,14,2,2,2,1,0,10,Macedonian
8/9/2019,4,0,0,11,5,3,6,1,0,15,Macedonian
9/9/2019,6,0,1,7,3,5,2,5,0,22,Macedonian
10/9/2019,10,0,0,7,3,2,4,0,0,8,Macedonian
11/9/2019,9,0,0,6,3,3,0,3,0,11,Macedonian
12/9/2019,5,0,0,7,10,1,3,6,0,5,Macedonian
13/09/2019,2,0,0,5,6,1,0,2,0,3,Macedonian
14/09/2019,5,0,0,12,2,3,5,1,0,13,Macedonian
15/09/2019,2,0,0,8,6,0,0,0,0,17,Macedonian
16/09/2019,9,0,0,4,5,3,3,1,0,15,Macedonian
17/09/2019,8,0,0,3,5,5,2,2,0,6,Macedonian
18/09/2019,14,0,4,8,11,2,5,4,0,4,Macedonian
19/09/2019,16,0,4,11,5,0,4,4,0,6,Macedonian
20/09/2019,5,1,0,3,5,4,6,3,0,4,Macedonian
21/09/2019,8,0,0,4,4,2,2,0,0,0,Macedonian
22/09/2019,12,2,1,4,2,2,1,5,0,7,Macedonian
23/09/2019,23,0,0,6,1,3,2,7,0,6,Macedonian
24/09/2019,17,0,2,7,3,3,0,3,0,8,Macedonian
25/09/2019,38,0,1,4,6,3,2,1,0,23,Macedonian
26/09/2019,6,1,1,12,5,11,2,1,0,1,Macedonian
27/09/2019,6,0,2,9,7,2,4,2,0,5,Macedonian
28/09/2019,12,1,0,7,4,0,2,0,0,2,Macedonian
29/09/2019,34,0,0,11,6,5,3,4,0,1,Macedonian
30/09/2019,6,0,0,4,3,4,1,6,0,3,Macedonian
1/10/2019,15,0,0,3,13,4,3,3,0,5,Macedonian
2/10/2019,11,1,1,6,5,3,2,4,0,5,Macedonian
3/10/2019,5,1,1,4,8,4,8,1,0,4,Macedonian
4/10/2019,10,1,0,6,1,3,5,1,0,0,Macedonian
5/10/2019,4,0,0,8,5,0,8,1,0,4,Macedonian
6/10/2019,8,0,1,14,5,3,4,1,0,2,Macedonian
7/10/2019,11,0,1,7,4,1,5,0,0,3,Macedonian
8/10/2019,7,0,1,3,2,4,2,4,0,3,Macedonian
9/10/2019,15,0,0,3,3,4,4,0,0,8,Macedonian
10/10/2019,5,0,3,2,4,1,1,3,0,3,Macedonian
11/10/2019,12,0,0,13,4,0,0,2,0,3,Macedonian
12/10/2019,7,0,1,7,1,3,3,0,0,7,Macedonian
13/10/2019,5,1,0,5,4,6,4,1,0,3,Macedonian
14/10/2019,14,0,0,8,1,6,2,3,0,11,Macedonian
15/10/2019,13,0,1,3,3,8,4,7,0,10,Macedonian
16/10/2019,16,0,1,2,11,4,3,3,0,21,Macedonian
17/10/2019,26,1,0,4,8,1,1,3,0,11,Macedonian
18/10/2019,6,0,0,10,4,10,2,5,0,7,Macedonian
