Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
28/08/2019,3,7,1,17,19,13,11,7,2,22,Serbian
29/08/2019,4,15,0,30,22,13,8,9,4,18,Serbian
30/08/2019,3,8,2,15,21,11,27,9,2,20,Serbian
31/08/2019,1,13,1,29,19,13,12,12,1,26,Serbian
1/9/2019,2,13,4,25,17,12,13,11,1,19,Serbian
2/9/2019,3,19,1,16,19,16,9,3,5,19,Serbian
3/9/2019,6,13,2,22,25,15,11,20,2,31,Serbian
4/9/2019,5,17,2,20,18,12,12,20,9,11,Serbian
5/9/2019,5,12,1,14,19,13,7,14,7,26,Serbian
6/9/2019,2,7,1,11,22,13,9,8,0,22,Serbian
7/9/2019,4,7,2,33,10,20,15,8,3,15,Serbian
8/9/2019,5,15,2,22,40,16,22,6,4,28,Serbian
9/9/2019,1,21,2,14,26,20,14,28,1,30,Serbian
10/9/2019,5,21,1,8,26,19,23,12,1,26,Serbian
11/9/2019,4,14,2,11,26,28,22,15,5,37,Serbian
12/9/2019,5,16,0,11,21,18,15,9,7,15,Serbian
13/09/2019,4,19,1,10,19,23,13,11,5,16,Serbian
14/09/2019,1,19,3,33,16,44,12,9,1,20,Serbian
15/09/2019,3,9,1,26,27,32,15,14,3,23,Serbian
16/09/2019,0,10,5,18,17,30,6,16,7,27,Serbian
17/09/2019,2,17,3,17,19,27,12,22,3,23,Serbian
18/09/2019,2,26,3,16,15,18,11,16,5,23,Serbian
19/09/2019,4,16,2,22,15,27,8,65,1,27,Serbian
20/09/2019,0,16,3,17,22,20,12,42,5,33,Serbian
21/09/2019,0,10,0,29,15,17,12,12,1,19,Serbian
22/09/2019,4,22,2,13,12,20,16,24,6,19,Serbian
23/09/2019,1,17,11,22,26,43,9,134,4,25,Serbian
24/09/2019,1,34,5,41,15,29,20,37,5,19,Serbian
25/09/2019,2,30,2,29,20,27,19,20,2,27,Serbian
26/09/2019,1,26,1,24,20,25,15,32,1,19,Serbian
27/09/2019,4,9,3,23,19,16,20,18,4,40,Serbian
28/09/2019,2,19,3,22,16,16,20,11,2,16,Serbian
29/09/2019,0,25,8,21,23,15,9,18,1,19,Serbian
30/09/2019,0,13,3,15,9,22,5,16,5,28,Serbian
1/10/2019,4,20,5,20,14,27,8,15,6,36,Serbian
2/10/2019,5,22,2,13,16,16,13,22,3,22,Serbian
3/10/2019,1,21,7,10,18,18,8,34,3,29,Serbian
4/10/2019,0,14,1,19,25,14,16,22,11,16,Serbian
5/10/2019,3,19,2,23,12,17,19,11,1,17,Serbian
6/10/2019,3,18,0,19,14,29,20,24,6,25,Serbian
7/10/2019,3,28,12,34,24,21,7,36,7,26,Serbian
8/10/2019,6,17,1,10,20,22,16,20,2,18,Serbian
9/10/2019,6,26,4,5,27,28,28,14,2,16,Serbian
10/10/2019,5,14,2,34,23,32,13,15,1,19,Serbian
11/10/2019,1,23,4,14,20,27,6,20,6,20,Serbian
12/10/2019,2,13,2,23,15,20,9,5,1,15,Serbian
13/10/2019,4,19,2,15,15,32,27,22,3,6,Serbian
14/10/2019,1,26,0,13,17,27,20,12,3,14,Serbian
15/10/2019,3,15,2,14,17,40,16,29,10,17,Serbian
16/10/2019,4,20,1,12,20,39,13,12,5,35,Serbian
17/10/2019,4,10,16,7,10,27,18,17,8,19,Serbian
18/10/2019,4,16,5,7,18,10,17,9,10,21,Serbian
19/10/2019,2,11,4,24,16,41,15,10,12,22,Serbian
20/10/2019,0,16,4,21,15,36,13,11,10,20,Serbian
21/10/2019,0,17,1,14,10,24,12,30,7,28,Serbian
22/10/2019,8,23,4,9,19,19,27,12,15,21,Serbian
23/10/2019,1,18,7,14,13,10,12,25,2,36,Serbian
24/10/2019,1,18,3,19,21,24,8,21,7,25,Serbian
25/10/2019,8,14,3,21,16,16,17,11,11,27,Serbian
26/10/2019,2,15,1,30,12,18,13,31,5,12,Serbian
27/10/2019,0,15,75,20,16,17,17,21,3,20,Serbian
28/10/2019,4,18,6,17,14,21,14,26,3,18,Serbian
29/10/2019,8,19,8,24,21,41,8,33,5,23,Serbian
30/10/2019,3,23,4,33,14,18,13,15,8,14,Serbian
31/10/2019,3,20,6,22,22,17,23,11,13,20,Serbian
1/11/2019,3,8,1,28,18,22,23,15,5,29,Serbian
2/11/2019,5,15,1,51,20,21,26,14,5,8,Serbian
3/11/2019,6,13,1,44,12,16,17,20,8,19,Serbian
4/11/2019,4,16,6,25,14,27,19,17,4,37,Serbian
5/11/2019,2,13,4,20,15,23,18,18,3,20,Serbian
6/11/2019,6,13,6,35,21,29,12,20,4,21,Serbian
7/11/2019,7,16,1,10,16,36,11,21,6,43,Serbian
8/11/2019,6,6,1,33,18,11,5,13,2,21,Serbian
9/11/2019,2,12,3,58,18,12,24,12,4,19,Serbian
10/11/2019,6,19,4,65,15,27,12,12,6,25,Serbian
11/11/2019,6,19,5,37,26,14,15,23,3,22,Serbian
12/11/2019,12,26,3,30,11,28,17,24,4,17,Serbian
13/11/2019,1,17,1,18,15,35,15,23,5,22,Serbian
14/11/2019,9,19,1,26,12,27,14,18,6,20,Serbian
15/11/2019,2,10,2,28,23,11,13,21,1,24,Serbian
16/11/2019,6,13,3,66,14,22,23,26,11,20,Serbian
17/11/2019,9,16,1,48,23,20,30,13,11,11,Serbian
18/11/2019,8,23,3,32,33,21,16,19,1,27,Serbian
19/11/2019,11,18,5,26,12,20,9,19,2,31,Serbian
20/11/2019,3,16,0,18,20,27,12,29,6,30,Serbian
21/11/2019,2,26,5,45,14,30,11,17,3,28,Serbian
22/11/2019,1,18,0,25,7,23,21,13,0,33,Serbian
23/11/2019,7,13,0,44,9,18,23,12,4,57,Serbian
24/11/2019,7,14,3,38,15,14,19,12,1,61,Serbian
25/11/2019,5,26,3,41,7,22,8,13,5,28,Serbian
26/11/2019,3,25,3,31,14,18,8,17,6,25,Serbian
27/11/2019,6,17,1,24,15,17,12,18,3,27,Serbian
28/11/2019,10,35,0,30,19,23,17,13,2,20,Serbian
29/11/2019,6,15,3,27,22,20,13,21,3,11,Serbian
30/11/2019,2,11,3,50,18,25,16,14,1,14,Serbian
1/12/2019,7,23,1,68,10,21,18,9,6,19,Serbian
2/12/2019,8,17,1,27,20,19,10,17,5,19,Serbian
3/12/2019,6,21,3,22,15,22,11,16,4,30,Serbian
4/12/2019,6,22,5,27,19,27,23,19,1,37,Serbian
5/12/2019,3,16,1,18,11,25,29,26,1,47,Serbian
6/12/2019,6,16,2,25,8,18,9,22,4,29,Serbian
7/12/2019,6,16,1,48,13,10,15,17,5,34,Serbian
8/12/2019,2,19,1,56,14,27,10,15,3,35,Serbian
9/12/2019,7,23,0,20,18,27,3,26,13,39,Serbian
10/12/2019,1,22,4,16,29,24,9,21,3,25,Serbian
11/12/2019,9,22,1,36,24,27,15,23,2,38,Serbian
12/12/2019,6,25,0,20,16,25,14,27,1,23,Serbian
13/12/2019,3,17,0,35,16,12,16,17,4,28,Serbian
14/12/2019,1,13,0,36,4,16,15,13,8,27,Serbian
15/12/2019,1,14,3,63,14,23,19,25,6,27,Serbian
16/12/2019,5,14,1,30,13,25,8,24,3,31,Serbian
17/12/2019,4,12,1,19,9,29,23,26,7,27,Serbian
18/12/2019,2,31,5,28,5,24,15,30,6,31,Serbian
19/12/2019,5,8,2,40,12,24,21,11,4,25,Serbian
20/12/2019,5,8,0,33,16,15,16,9,0,17,Serbian
21/12/2019,3,12,4,64,17,16,17,9,6,38,Serbian
22/12/2019,2,24,1,65,13,24,13,8,3,16,Serbian
23/12/2019,1,16,2,43,16,34,12,11,2,26,Serbian
24/12/2019,2,14,2,47,21,18,7,14,1,26,Serbian
25/12/2019,3,12,2,46,15,22,18,10,1,23,Serbian
26/12/2019,2,9,0,45,16,16,11,18,2,21,Serbian
27/12/2019,1,6,0,48,11,20,13,5,3,11,Serbian
28/12/2019,0,3,2,99,13,17,14,6,0,17,Serbian
29/12/2019,2,7,0,89,7,14,9,6,4,15,Serbian
30/12/2019,0,9,0,84,35,14,8,6,5,15,Serbian
31/12/2019,2,6,0,128,16,10,6,11,0,21,Serbian
