Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
9/8/2019,7,0,3,2,100,1,3,2,0,6,Tamil
9/9/2019,9,0,14,4,99,1,3,3,0,1,Tamil
9/10/2019,6,0,4,0,77,3,5,5,0,2,Tamil
9/11/2019,10,5,9,2,87,1,1,4,0,4,Tamil
9/12/2019,10,1,8,1,85,5,3,2,0,1,Tamil
9/13/2019,17,0,6,4,70,1,2,2,1,2,Tamil
9/14/2019,10,1,6,4,64,1,3,2,0,5,Tamil
9/15/2019,13,1,3,2,54,0,3,4,0,1,Tamil
9/16/2019,9,1,6,3,116,3,4,2,0,1,Tamil
9/17/2019,7,0,7,2,120,2,1,2,0,3,Tamil
9/18/2019,14,0,6,4,112,0,2,5,2,1,Tamil
9/19/2019,11,0,11,4,123,2,5,3,0,0,Tamil
9/20/2019,7,0,5,10,176,3,3,9,2,5,Tamil
9/21/2019,8,0,3,1,133,1,0,6,2,3,Tamil
9/22/2019,21,1,11,5,122,0,8,3,0,0,Tamil
9/23/2019,20,0,8,3,118,0,2,5,1,3,Tamil
9/24/2019,30,0,3,7,111,0,6,6,0,4,Tamil
9/25/2019,23,0,8,2,112,2,7,1,0,3,Tamil
9/26/2019,27,1,2,7,139,2,4,2,1,2,Tamil
9/27/2019,25,0,11,3,114,0,3,2,0,4,Tamil
9/28/2019,21,0,4,4,105,3,3,3,0,3,Tamil
9/29/2019,31,1,6,4,101,6,3,4,0,2,Tamil
9/30/2019,38,0,7,2,86,3,3,3,0,8,Tamil
10/1/2019,26,0,7,4,136,4,2,4,1,3,Tamil
10/2/2019,66,0,6,8,139,8,2,2,1,3,Tamil
10/3/2019,22,0,5,2,94,2,0,4,1,8,Tamil
10/4/2019,31,0,5,4,100,0,2,1,0,2,Tamil
10/5/2019,22,1,9,4,70,1,2,4,0,2,Tamil
10/6/2019,15,0,5,3,39,1,1,3,0,11,Tamil
10/7/2019,16,0,9,3,63,3,19,0,1,4,Tamil
10/8/2019,18,0,6,4,88,5,12,0,0,3,Tamil
10/9/2019,30,0,6,0,94,4,7,2,0,3,Tamil
10/10/2019,25,0,7,2,136,3,5,1,0,5,Tamil
10/11/2019,17,2,5,3,83,4,3,1,1,8,Tamil
10/12/2019,10,1,8,5,66,1,3,2,0,3,Tamil
10/13/2019,27,1,3,4,83,1,2,1,1,1,Tamil
10/14/2019,31,0,3,8,100,2,6,2,5,6,Tamil
10/15/2019,22,1,9,3,98,7,1,3,0,3,Tamil
10/16/2019,27,0,14,3,147,2,1,1,5,2,Tamil
10/17/2019,34,1,6,1,145,4,4,1,0,10,Tamil
10/18/2019,23,2,6,4,134,2,5,1,0,7,Tamil
10/19/2019,16,2,3,2,76,0,5,2,2,10,Tamil
10/20/2019,21,0,8,2,97,5,1,3,0,9,Tamil
10/21/2019,21,0,4,2,82,5,2,2,0,13,Tamil
10/22/2019,21,1,8,4,115,5,3,8,1,3,Tamil
